id,owner_id,post_time,post_text,comments.count
1778387,-15548215,1675205400,"Январь на российском фондовом рынке выдался спокойным: индекс Мосбиржи поднялся на 3,3% до 2225,6 пункта. Его долларовый аналог, индекс РТС, на фоне незначительного укрепления рубля прибавил 3,2%, достигнув 1001,23 пункта. На валютном рынке в первом месяце 2023 г. также не было отмечено сильных волнений: рубль ослаб к двум валютам – евро вырос на 1,5% (1,15 руб.) до 75,95 руб., а юань прибавил 2,35% (25 коп.) и достиг 10,35 руб. Доллар за январь снизился на 1,8% (1,22 руб.) до 69,82 руб.",11
1778025,-15548215,1675189802,"Санкции Запада, которые включают запрет на поставки в Россию самолетов и комплектующих к ним, а также закрыли европейский рынок для российских авиакомпаний, направлены на уничтожение авиационной отрасли в России. Об этом заявил глава Росавиации Александр Нерадько в интервью РБК.",31
1776882,-15548215,1675165804,"Зампред Совбеза России Дмитрий Медведев предложил в ответ на санкции узаконить в стране доступ к интеллектуальной собственности западных стран без лицензии и поблагодарил тех, кто разработал пиратские версии программ.",36
1775745,-15548215,1675149007,"Главные и самые интересные материалы в газете | 31 января

«Русагро» практически прекратило продажи подсолнечника и сои. Это один из крупнейших в России агрохолдингов.

ФСИН усилила контроль за проносом мобильных телефонов на зону. Число задержаний за это выросло в 1,6 раза.

Экспорт железной руды в Европу из России в 2022 г. упал в 4 раза. Это произошло даже несмотря на то, что сырье не подпало под санкции ЕС.",10
1775233,-15548215,1675119001,"Объем экспорта железорудного концентрата и окатышей из России в Европу сократился в 2022 г. в 4 раза до 2,9 млн т. Об этом свидетельствуют расчеты отраслевого агентства Metals & Mining Intelligence (MMI; является поставщиком информации для расчета акциза на сталь для ФАС и мониторинга рынка для Минфина РФ), предоставленные «Ведомостям».",11
1774508,-15548215,1675095900,"В обществе растет запрос на получение социальной поддержки от бизнеса и признание им своей ответственности перед гражданами, говорится в исследовании Центра социального проектирования «Платформа». Эти ожидания усиливаются на фоне состояния экономики и снижения потребительского спроса.",17
1772357,-15548215,1675058403,Бывший премьер-министр Великобритании Борис Джонсон рассказал подробности разговора с президентом РФ Владимиром Путиным перед началом спецоперации России на Украине в феврале 2022 г. Его слова приводит газета Telegraph.,48
1771444,-15548215,1674998100,"Президент Украины Владимир Зеленский подписал указ о введении санкций в отношении 182 российских и белорусских компаний, а также трех индивидуальных предпринимателей, следует из опубликованного на сайте офиса главы государства документа.",11
1768839,-15548215,1674832899,Венгрия будет накладывать вето на любые инициативы антироссийских санкций ЕС в сфере атомной энергетики. Об этом заявил 27 января 2023 г. венгерский премьер-министр Виктор Орбан.,26
1768342,-15548215,1674822003,"Совет Евросоюза продлил на есть месяцев введенные из-за событий на Украине антироссийские санкции, следует из заявления пресс-службы совета.",24
1767823,-15548215,1674811827,"Новые санкции Японии против России ничего страшного не принесут, но ухудшат и так печальное состояние отношений, заявил пресс-секретарь президента Дмитрий Песков.",39
1767786,-15548215,1674811200,Венгрия теряет около 10 млрд евро в год из-за санкций ЕС против России. Об этом сообщил премьер-министр Венгрии Виктор Орбан в эфире радиостанции Kossuth.,63
1767291,-15548215,1674801002,"Европейский союз предложил провести новый раунд санкций в отношении Белоруссии за поддержку России на фоне спецоперации на Украине, пишет агентство Bloomberg со ссылкой на документы.",16
1767222,-15548215,1674799500,"Япония расширила санкции против России, запретив с 3 февраля экспорт вакцин, медицинского оборудования и роботов в страну. Об этом сообщает министерство экономики, торговли и промышленности страны.",87
1766948,-15548215,1674762600,"Крупнейший в мире производитель предметов роскоши Louis Vuitton Moët Hennessy (LVMH) опубликовал финансовую отчетность за 2022 г. В компании сообщили, что конфликт на Украине и последовавшие за ним санкции не оказали существенного влияния на LVMH, однако холдинг потерял 210 млн евро из-за продажи сети магазинов косметики Sephora в России.",7
1766749,-15548215,1674756302,"США согласятся ослабить санкции в отношении России, если страна будет готова вести «серьезные переговоры» по Украине и вывести свои войска. Такое заявление сделала заместитель госсекретаря США по политическим делам Виктория Нуланд.",63
1766389,-15548215,1674749402,"США ввели новые санкции против российских физических и юридических лиц, следует из заявления минфина США.",79
1763876,-15548215,1674703202,"В российских вузах обучаются около 400 000 иностранных студентов, заявил журналистам министр образования и науки Валерий Фальков в День студента. «Несмотря на эту дискуссию (после начала спецоперации на Украине и прекращения сотрудничества с рядом стран. – «Ведомости»), иностранцы тоже стремятся получить образование в российских вузах», – сказал он. Всего порядка 400 000 иностранцев учится в России и в 2022 г. «поступило больше даже, чем в 2021 г.», заверил Фальков.",29
1763235,-15548215,1674671100,"Швейцария присоединилась к девятому пакету санкций против России, передает пресс-служба федерального совета страны. Они вступают в силу 25 января 2023 г.",24
1757727,-15548215,1674548567,"Президент Сербии Александар Вучич в специальном обращении к нации вечером 23 января дал понять, что пойдёт на переговоры с «большой пятёркой» стран ЕС во главе с Францией и Германией по поводу предложенного ими плана урегулирования ситуации в Косово. Он заявил, что Сербия стоит перед выбором: оказаться под санкциями ЕС и под угрозой вывода инвестиций, вспомнив при этом про бомбёжки Белграда 1999 г., либо пойти на переговоры с руководством Косово и проложить «единственно возможный» путь страны – в Евросоюз. Подробности он так и не раскрыл.",62
1756732,-15548215,1674497649,"В десятом пакете санкций против России ЕС может расширить ограничения в отношении товаров, которые используются российским военно-промышленным комплексом (ВПК). Об этом сообщает Bloomberg со ссылкой на источники, знакомые с этим вопросом.",5
1756354,-15548215,1674488289,"Санкции в отношении России ведут Европу «в тупик», заявил министр иностранных дел и внешней торговли Венгрии Петер Сийярто. Очередной пакет антироссийских санкций стал бы «огромной ошибкой», считает он.",12
1754328,-15548215,1674398498,"Еврокомиссия (ЕК) изучает возможность введения новых санкций против Белоруссии, в том числе эмбарго на поставки Минску техники двойного назначения и вооружений, а также ограничений против банков, передает польское RMF FM со ссылкой на источники в ЕК.",53
1753159,-15548215,1674374701,"Финляндия заморозила российские активы на сумму 187 млн евро в рамках санкций Евросоюза, куда были включены более 1300 граждан РФ, сообщает Yle.",100
1751999,-15548215,1674296700,"Блокировка счетов RT France во Франции приведет к ответным мерам со стороны Москвы в отношении французских СМИ в России, сообщили «РИА Новости» в МИД. Ранее телеканал заявил, что счета RT France заморозили по распоряжению французских властей в связи с девятым пакетом санкций.",24
1751740,-15548215,1674285002,"Главные и самые интересные материалы в газете за неделю | 16–20 января

Власти хотят разрешить проводить допросы россиян за рубежом. А также вызывать их в качестве свидетелей без участия местных правоохранителей.

Санкции привели к смене крупнейших торговых партнеров России в 2022 г. Место США в первой пятерке заняла Турция.

В Госдуме создали группу по сохранению традиционных ценностей. Она будет реализовывать госполитику в этой сфере.",5
1751450,-15548215,1674248231,"Маркетплейсы могут лишить права по своему усмотрению блокировать продавцов или списывать их средства в виде штрафов. Правила, по которым площадки смогут налагать такие санкции, предложено закрепить поправками к законопроекту пятого антимонопольного пакета, который рассматривается сейчас в Госдуме. Соответствующее предложение направил в профильный думский комитет Алексей Кожевников, гендиректор АНО «Цифровизации и новых технологий» и член Общественного совета ФАС России.",14
1751125,-15548215,1674238870,"Даты принятия десятого пакета санкций ЕС против России на данный момент нет, пишут «РИА Новости» со ссылкой на высокопоставленный европейский источник. Сейчас Евросоюз сконцентрировался на реализации и предотвращении обхода действующих ограничений, добавил он.",7
1749178,-15548215,1674197520,"Концерн Toyota в конце 2022 г. возобновил поставки в Россию запчастей, которые не подпали под санкции, а также разрешил своим дилерам параллельный импорт деталей, которых ограничения коснулись. Об этом узнали «Известия» из хода судебных разбирательств компании с «Общественной потребительской инициативой» (ОПИ) и Роспотребнадзором.",18
1748808,-15548215,1674171900,"Доля российских компаний, размещающих свои данные в коммерческих ЦОДах в Казахстане, растет. Если в 2020–2021 гг. только 2–3% из общего количества пользователей казахстанских ЦОДов приходилось на российские юрлица, то в 2022 г. доля увеличилась до 8%, а в 2023 г. составит около 10% всего рынка, подсчитали аналитики iKS-Consulting. Всего на облачном рынке Казахстана услугами сервисов пользуется около 18 000 юрлиц, подсчитали в компании, а значит, количество клиентов из России может составить чуть менее 2000. Рост спроса на услуги ЦОДов в Казахстане со стороны российских компаний подтверждают еще два участника рынка.",3
1748654,-15548215,1674163682,МИД России запретил въезд еще для 31 гражданина Новой Зеландии в ответ на расширение этой страной антироссийских санкций. Об этом сообщается на сайте внешнеполитического ведомства.,25
1746692,-15548215,1674118442,"МИД России ввел санкции против 31 новозеландского чиновника и журналиста

МИД России запретил въезд еще для 31 гражданина Новой Зеландии в ответ на расширение этой страной антироссийских санкций. Об этом сообщается на сайте внешнеполитического ведомства.",3
1744100,-15548215,1674036557,"Лавров похвалил власти Грузии за отказ присоединиться к санкциям против России

Сергей Лавров на пресс-конференции по итогам деятельности российской дипломатии в 2022 г. дал оценку политике Грузии, которое не стало вводить санкции против Москвы.",12
1743619,-15548215,1674025807,"Главные и самые интересные материалы в газете | 18 января

Правительство и автопром разошлись в оценках развития отрасли на 2023 г. В минувшем году продажи упали на 59% из-за СВО на Украине.

Санкции привели к смене крупнейших торговых партнеров России в 2022 г. Место США в первой пятерке заняла Турция.

Володин предложил сделать службу в армии обязательной для чиновников и депутатов.",1
1743306,-15548215,1673994900,"В 2022 г. российский рынок труда пережил сразу несколько шоков. Прежде всего введение санкций, уход западных работодателей и как минимум две волны релокации. Острого кризиса удалось избежать: безработица в конце прошлого года и начале нынешнего находилась на рекордно низких уровнях. Но в 2023 г. рынок труда ждет активная адаптация к сложившимся условиям. Во-первых, более ярко проявятся эффекты, связанные с релокацией. Во-вторых, структура и модель занятости будут меняться по мере трансформации экономики, которая в этом году вступит в активную фазу. «Ведомости» разбирались, какие риски и тенденции станут главными для рынка труда в 2023 г.",28
1743105,-15548215,1673980683,"Выданная США лицензия распространяется на транзакции, связанные с производством, продажей, передачей и транспортировкой сельскохозяйственной продукции, оборудования, медикаментов, медицинских приборов с запчастями и обновлениями программного обеспечения.",11
1742629,-15548215,1673964808,"МИД объявил об ответе России на очередной пакет санкций Евросоюза

Россия расширила список представителей евроинститутов и стран-членов Евросоюза, которым запрещен въезд в Россию, передает пресс-служба МИДа.",17
1742235,-15548215,1673957242,"Путин заявил, что динамика экономики РФ оказалась лучше прогнозов

Фактические показатели российской экономики по итогам 2022 г. оказались лучше многих прогнозов. Об этом заявил президент РФ Владимир Путин на совещании по экономическим вопросам.

Главное из заявления: 
 
▪ВВП России в 2022 году, по предварительным данным, снизился лишь на 2,5%. Показатель по дефициту бюджета стал одними из лучших в G20 
 
▪Снижение инфляции в первом квартале 2023 года может составить до 5% 
 
▪Российские газовые компании получили «хорошую прибыль» в 2022 году, а нефтедобыча выросла на 2%, несмотря на санкции 
 
▪Стране нужно отказаться от экспорта необработанной древесины и поставлять продукцию с высокой добавленной стоимостью 
 
▪Надо стимулировать занятость и рост реальных зарплат 
 
▪Важно закрепить тенденцию роста российской экономики 
 
▪Некоторым компаниям разрешается не учитывать голоса акционеров из недружественных стран 
 
[club15548215|@vedomosti]",42
1742145,-15548215,1673955931,"Глава ЕК назвала целью санкций погружение экономики России в длительную рецессию

Санкции Евросоюза против России нацелены на погружение экономики РФ в рецессию на длительный срок, из-за ограничений РФ лишается критически важных технологий.",100
1741420,-15548215,1673941466,"FT узнала о проблемах при продаже иностранных банков в России

Западные банки, которые пытаются выйти из российских активов на фоне спецоперации на Украине, столкнулись с проблемами из-за утвержденного ранее запрета президентом РФ Владимиром Путиным.",7
1739429,-15548215,1673795403,"Владимир Зеленский ввел санкции против 198 человек, среди которых есть российские военкоры, ведущие и актеры, а также граждане Украины и Белоруссии.

В список попали Андрей Кончаловский, Дмитрий Пучков, Эвелина Бледанс, Юрий Лоза и другие:",174
1737279,-15548215,1673637336,Они также хотят исключить больше российских банков из системы SWIFT и запретить вещание еще большему числу СМИ с «российской пропагандой».,34
1733639,-15548215,1673518225,"РБК: в Приморье сократились авиарейсы из-за трудностей с ремонтом двигателей

Авиарейсы в Приморском крае сократились в связи с трудностями, которые связаны с обслуживанием двигателей канадских самолетов DHC-6 на фоне западных санкций.",27
1733476,-15548215,1673514152,"МИД России ввел санкции против 36 британских чиновников и журналистов

МИД РФ дополнительно включил в «стоп-лист» 36 членов кабинета министров, представителей силовых ведомств и журналистского корпуса Соединенного Королевства.",13
1731727,-15548215,1673430582,"Санкции против программистов-удаленщиков будет непросто реализовать

Но массовая работа за рубежом создает трудности компаниям и самим сотрудникам",11
1724093,-15548215,1672961820,Как Запад в 2022 году дестабилизировал глобальный рынок нефти,24
1723393,-15548215,1672889340,"В интервью «Ведомостям» вице-премьер рассказал о задачах, поставленных президентом, мобилизации предприятий для нужд специальной военной операции (СВО), мерах поддержки для авиационной и автомобильной отрасли.",98
1723266,-15548215,1672864201,"Магазины около 150 зарубежных брендов продолжают работать в крупных российских торговых центрах, говорит представитель NF Group. Но для этого они использовали различные схемы во избежание санкций.",38
1722425,-15548215,1672816620,,0
1719424,-15548215,1672473000,"США беспокоит сближение Китая с Россией на фоне продолжающейся военной спецоперации на Украине, на Западе предупредили КНР о последствиях помощи Москве, заявил официальный представитель госдепа США. Ранее Китай критиковал США за введение санкций против РФ:",34
1719402,-15548215,1672470959,,2
1719175,-15548215,1672437960,"Магазины около 150 зарубежных брендов продолжают работать в крупных российских торговых центрах, говорит представитель NF Group. Но для этого они использовали различные схемы во избежание санкций.

#итоги_и_прогнозы",19
1719130,-15548215,1672432800,"Как Запад в 2022 году дестабилизировал глобальный рынок нефти

#итоги_и_прогнозы",25
1719112,-15548215,1672431001,"Фактор санкций после начала СВО больно ударил по двум отраслям, где локализация была и остается относительно невысокой, а социальная значимость, наоборот, крайне высока. Это авиация и автопром.

#итоги_и_прогнозы",14
1718885,-15548215,1672416009,"Минфин решил перевести заблокированную часть ФНБ в юани и золото

Минфин определился с новой структурой Фонда национального благосостояния (ФНБ). Евро, иены и фунты стерлингов из состава валют ФНБ исключаются, рассказал «Ведомостям» близкий к правительству источник, информацию подтвердил знакомый с текстом приказа ведомства собеседник. По их словам, согласно новой структуре, до 80% фонда разрешено инвестировать в юани, до 40% – в золото. То есть доли могут варьироваться: например, 70% займут юани, 30% – золото.

Впоследствии Минфин опубликовал пресс-релиз, где уточнил, что максимальная доля юаня определена на уровне 60%. Пропорция по золоту, согласно сообщению министерства, утверждена на уровне 40%. Остатки на счетах ФНБ в фунтах стерлингов и японских иенах в Банке России обнулены, уточняется в релизе.

Согласно действующим пропорциям, утвержденным Минфином летом 2021 г., ФНБ должен на 39,7% состоять из евро, на 30,4% – из юаней, на 5% – из фунта стерлингов, на 4,7% – из иены и на 20,2% – из золота. Ранее в состав фонда входили доллары США. Средства в евро, фунтах и иенах на счетах в ЦБ заблокированы из-за санкций.

Полный текст статьи доступен по ссылке:
https://www.vedomosti.ru/finance/articles/2022/12/29/957707-minfin-reshil-perevesti",34
1718751,-15548215,1672412141,"Ритейлеры не хотят покидать российский рынок

Магазины около 150 зарубежных брендов продолжают работать в крупных российских торговых центрах, говорит представитель NF Group. Но для этого они использовали различные схемы во избежание санкций.",21
1718747,-15548215,1672412065,"Санкции и нехватка инвестиций в ТЭК приведут к новому мировому кризису через 5–10 лет

Отказ от российских энергоресурсов и недоинвестированность традиционной энергетики в 2022 г. привели к усугублению энергокризиса во всем мире.",56
1713888,-15548215,1672213920,"Гендиректор «Аэрофлота» назвал число арестованных самолетов авиакомпании за рубежом

У «Аэрофлота» арестовано 13 из 357 самолетов за границей из-за международных санкций. Об этом сообщил в интервью РБК гендиректор «Аэрофлота» Сергей Александровский.",22
1712978,-15548215,1672152845,,8
1711540,-15548215,1672124237,"ЕС запретил юристам консультировать российские компании по вопросам санкций

Юристы из ЕС могут продолжать работу с дочерними компаниями из России, но не могут консультировать их в интересах материнской организации.",19
1709938,-15548215,1672040081,"Глава МИД Казахстана пообещал не помогать России обходить западные санкции

Казахстан не будет вводить санкции против России, однако также не будет помогать ей обходить западные ограничения, заявил глава МИД республики Мухтар Тлеуберди.",86
1708934,-15548215,1671954901,"Россия не будет поставлять нефть по контрактам, устанавливающим ценовые ограничения, заявил министр финансов Антон Силуанов. По его словам, санкции затронули Европу не меньше, чем Россию, а выигрывают от этого США:",60
1708533,-15548215,1671894905,"Рост цен на энергоносители обошелся Венгрии в 10 млрд евро, из экономики страны уходит огромная сумма, заявил премьер-министр Виктор Орбан. До начала конфликта на Украине и санкций республика платила за импорт энергоносителей 7 млрд евро в год:",76
1707555,-15548215,1671824640,,7
1704499,-15548215,1671769981,"В связи с геополитической ситуацией и санкциями, под которые в том числе попал партнер «Союзмультфильма» – «Сбер», студии пришлось пересмотреть свою стратегию развития и планы по экспорту.",11
1701573,-15548215,1671642026,"Убытки «Роскосмоса» выросли в 2022 году примерно на 60% до 50 млрд рублей

Госкорпорация «Роскосмос» ожидает в 2022 г. убытки на сумму около 50 млрд руб. – в основном из-за хронических срывов сроков сдачи продукции. Новым руководством госкорпорации были составлены новые реалистичные графики и введена персональная ответственность менеджеров за несоблюдение временных параметров проектов

Убытки госкорпорации «Роскосмос» в уходящем году могут составить 50 млрд руб. Эту цифру в интервью «Ведомостям» назвал гендиректор «Роскосмоса» Юрий Борисов. В 2021 г. убытки «Роскосмоса» составили 31 млрд руб. По словам Борисова, к росту убытков привели введенные после начала специальной военной операции (СВО) западные санкции и другие причины, которые приводили к срыву исполнения заказов. «Основной источник убытков был связан с ненадлежащей организацией работы предприятий. Компании брались за выполнение госзаказа или за заказы самой госкорпорации, но не выполняли их в срок.

Полный текст статьи доступен по ссылке:
https://www.vedomosti.ru/economics/articles/2022/12/21/956269-ubitki-roskosmosa-virosli-v-2022-godu",86
1699764,-15548215,1671604411,"Просчитанный риск

Санкции западных компаний против отечественной экономики стали серьезным вызовом для российских предпринимателей. При этом численность предприятий малого и среднего бизнеса (МСП) не только не уменьшается, но и растет.",13
1699574,-15548215,1671565177,"Министерство финансов Люксембурга выдало генеральную лицензию на разблокировку активов, ценных бумаг и купонного дохода инвесторов, которые хранятся в международном депозитарии Clearstream и зависли в нем из-за санкций против НРД.",2
1698903,-15548215,1671539978,"Госдума приняла закон для защиты от санкций банков с долей участия России

Госдума сразу во втором и третьем чтении приняла закон, согласно которому правительство РФ может конвертировать доли участия РФ в долговые обязательства.",4
1698341,-15548215,1671525640,"В горах родилась елочка. Какие елки выбирают москвичи на Новый год-2023

С 20 декабря в Москве заработали 237 традиционных елочных базаров. Хотя импортные елки в этом году попали под санкции, поставщики сумели решить вопросы логистики.",5
1698216,-15548215,1671520202,"Главные и самые интересные материалы в газете | 20 декабря

В России могут разрешить онлайн-торговлю отечественным вином. Продажа будет проходить на маркетплейсах.

Ритейлеры начали выводить головные структуры из недружественных стран. Таким образом они страхуются от возможных санкций.

Россияне потеряли доверие к инструментам фондового рынка. Они переключили внимание обратно на накопительные счета.",0
1697971,-15548215,1671512957,"В этом году мобильные приложения российских банков, подпавших под санкции, стали удалять из App Store и Google Play. Это подтолкнуло банки к развитию собственных приложений Web3 в технологии, подразумевающей максимальную децентрализацию и наибольшую независимость от монопольных разработчиков.",162
1694899,-15548215,1671276007,"Евросоюз должен отменить прямые и косвенные санкции, которые мешают поставкам зерна, удобрений и сырья, необходимого для их производства, заявил  замминистра иностранных дел Александр Грушко.

В ведомстве также призвали подключить к SWIFT «Россельхозбанк»:",14
1694631,-15548215,1671266231,"Правительство продлило до конца 2023 г. меры поддержки рынка труда и предупреждения безработицы в условиях западных санкций. 
Они позволят временно трудоустроить более 176 000 человек, в бюджете на эти цели предусмотрено более 12,8 млрд рублей:",46
1694574,-15548215,1671264606,"Власти Молдавии приостановили действие лицензии на вещание шести СМИ в целях предотвращения риска дезинформации. Речь идет о телеканалах «Первый в Молдове», RTR Moldova, Accent TV, «НТВ-Молдова», «ТВ-6» и Orhei TV:",64
1694536,-15548215,1671262512,"Санкции, согласованные ЕС в девятом пакете, коснутся не только россиян, но и самих европейцев, заявили в постпредстве РФ при ЕС. Запрет вещания российских СМИ попирает свободу слова и лишает европейцев «возможности узнать альтернативную точку зрения»:",25
1694177,-15548215,1671231899,"Евросоюз опубликовал новый девятый пакет санкций против России, следует из официального журнала ЕС. Документ включает 692 страницы, на которых перечислены физические лица и предприятия, в отношении которых введены санкции.",21
1694144,-15548215,1671226610,"Совет Евросоюза 16 декабря утвердил девятый пакет санкций в отношении России, где прописывается запрет на новые инвестиции в российскую горнодобывающую промышленность за исключением «определенного критического сырья».",29
1693015,-15548215,1671195846,"Совет ЕС утвердил девятый пакет санкций против России

Совет ЕС утвердил девятый пакет санкций в отношении России. Об этом говорится в сообщении, опубликованном на сайте Евросовета.",60
1692077,-15548215,1671179603,"Росбанк приостановил операции в долларах и евро из-за санкций США

Росбанк приостановил операции в долларах, евро и дирхамах, сообщается в Telegram-канале кредитной организации. Решение последовало из-за введенных санкций США.",37
1691809,-15548215,1671173596,"EUobserver: ЕС согласовал ослабление санкций для нескольких российских предпринимателей

Представители стран Евросоюза договорились о частичном ослаблении санкций в отношении нескольких российских предпринимателей, занимающихся производством удобрений.",41
1691781,-15548215,1671171998,"Посольство назвало новые санкции США против РФ «бессильной злобой»

Новые санкции США против российских граждан и компанией являются проявлением бессильной злотый. Такое заявление сделали в посольстве РФ в Вашингтоне.",34
