id,owner_id,post_time,post_text,comments.count
2856655,-23482909,1675190533,"Производство стали в России в 2022 году сократилось на 7%, до 71,5 млн тонн. Ситуация оказалась лучше мрачных прогнозов первой половины 2022 года, когда компании предрекали падение на 15%.

Тем не менее перспективы восстановления выпуска в 2023 году, по мнению аналитиков, выглядят неоднозначно. С одной стороны, производство поддержит рост рентабельности экспорта по мере перенастройки логистики и ослабления рубля. С другой стороны, спрос на внутреннем рынке может сократиться из-за замедления строительства жилья.",9
2856539,-23482909,1675187446,"В Зимбабве теперь «навсегда решен вопрос продовольственной безопасности». С таким заявлением выступил президент республики Эммерсон Мнангагва, комментируя договоренности в рамках визита своего коллеги из Белоруссии Александра Лукашенко.

Обсуждением белорусских тракторов и комбайнов дело не ограничилось: лидеры много говорили об односторонних санкциях, «иллюзорных демократических ценностях», а также попытках зимбабвийцев ставить заслоны на пути «проходимцев и недругов».

Из заявлений в ходе визита следовало, что Минск, Хараре, а также дружественная им обоим Москва просто обязаны держаться друг друга перед лицом западного неоколониализма.",43
2856284,-23482909,1675180255,"Как стало известно «Ъ», суд вернул в надзорный орган громкое уголовное дело о хищении более миллиарда рублей, выделенных на закупки автомобилей Skoda для нужд МВД. Сделано это было из-за ошибок, допущенных в обвинении.

Какие именно нарушения были выявлены в деле, в суде не уточнили. Однако, как следует из постановления Мосгорсуда, вынесенного уже после завершения расследования, среди них могут оказаться и нарушения, связанные с ознакомлением с делом.

Проблемы с патрульными машинами в российской полиции не решены до сих пор. В прошлом году, как сообщал «Ъ», в первую очередь из-за санкций МВД так и не смогло найти поставщика необходимых для ГИБДД 2,8 тыс. новых автомобилей.",11
2855895,-23482909,1675166893,"По словам зампреда Совета безопасности РФ Дмитрия Медведева, такие меры будут ответными санкциями на прекращение продажи в Россию прав на использование интеллектуальной собственности, в том числе кинофильмов и программного обеспечения (ПО).

Дмитрий Медведев утверждает, что в России смогли заменить отечественными или азиатскими «абсолютное большинство промышленной продукции и потребительских товаров». Он также отметил работу программ параллельного импорта.

[club23482909|@kommersant]",33
2855405,-23482909,1675129202,"В России сокращаются клинические испытания препаратов: в 2022 году Минздрав выдал на 18,5% меньше разрешений, чем годом ранее. Падение стало следствием массового отказа иностранных компаний от исследований в стране, хотя лекарства и медицинские изделия не попали под санкции. 

Рост на 21% испытаний локальных производителей не смог компенсировать падения, да и обеспечен в основном дженериками. В перспективе это может привести к снижению доли на рынке инновационных препаратов — наиболее эффективных при лечении в том числе онкологических заболеваний, предупреждают врачи.

#Ъузнал@kommersant",24
2855347,-23482909,1675118401,"Структуры «Росатома» проявляют интерес к покупке отечественного производителя систем хранения данных и серверов Kraftway. 

Такая сделка выглядит логичной в рамках стратегии госкорпорации по выходу в сегмент поставок техники госсектору: Kraftway исторически была ориентирована на госзаказ, а в прошлом году попала под санкции США. 

По мнению экспертов, в условиях санкционного давления в ближайшем будущем все больше частных компаний в сегменте будут поглощены госструктурами.

#Ъузнал@kommersant",3
2854349,-23482909,1675036262,"Прошлый год оказался непростым для российских инвестбанков, работающих на долговом рынке. Из-за возросших санкционных рисков Сбербанк и «ВТБ Капитал» уступили лидирующие позиции Газпромбанку. 

Впрочем, изоляция российского рынка делает вторичные санкции менее опасными, поэтому по мере трансформации локального долгового рынка роль госбанков будет восстанавливаться, считают его участники. 

В 2023 году они ожидают как минимум повторение результата 2022 года, при этом одним из основных центров роста рынка станут юаневые облигации.

#Ъузнал@kommersant",4
2853185,-23482909,1674974760,"📰Председатель Следственного комитета России Александр Бастрыкин поручил возбудить уголовное дело по факту обстрела больницы в населенном пункте Новоайдар в ЛНР.

📰Украина ввела санкции против 182 юридических и трех физических лиц из России, связанных с железнодорожными перевозками военнослужащих и военной техники.

📰Для российских и белорусских спортсменов будет разработана специальная система квот на Олимпиаду-2024 в Париже, сообщил и. о. президента Олимпийского совета Азии Рандхир Сингх.

Как развиваются события — в онлайн-трансляции «Ъ».

https://www.kommersant.ru/doc/5796408?vk",27
2853096,-23482909,1674966600,"🔸Группа американских военных чиновников «тихо подталкивает» Пентагон к одобрению отправки истребителей F-16 на Украину, сообщили источники Politico.

https://www.kommersant.ru/doc/5796394?vk

🔸Президент Украины Владимир Зеленский ввел санкции против 182 юридических и трех физических лиц из РФ. Утверждается, что они связаны с перевозками по железной дороге военнослужащих и военной техники.

https://www.kommersant.ru/doc/5796387?vk

🔸Глава Чечни Рамзан Кадыров раскритиковал заявление польского премьера Матеуша Моравецкого в поддержку независимости Чечни от России. Он заявил, что страны Европы, в том числе Украина, не поддерживали Ичкерию, когда она объявила себя независимой в 1990-х годах.

https://www.kommersant.ru/doc/5796395?vk

🔸Не меньше 580 человек пострадали при землетрясении в провинции Западный Азербайджан на северо-западе Ирана. По разным данным, погибли два или три человека.

https://www.kommersant.ru/doc/5796397?vk

🔸Иран подвергся атаке беспилотников, произошел взрыв на военном объекте.

https://www.kommersant.ru/doc/5796391?vk

🔸Российский боксер Артур Бетербиев победил британца Энтони Ярда. Он защитил три титула чемпиона мира в весовой категории до 79,38 кг.

https://www.kommersant.ru/doc/5796390?vk

🔸Олимпийский совет Азии рассказал, что для российских и белорусских спортсменов будет разработана специальная система распределения квот на Олимпиаду в Париже в 2024 году.

https://www.kommersant.ru/doc/5796389?vk

#главноекутру",9
2852955,-23482909,1674943501,"Президент Украины Владимир Зеленский утвердил решение Совета национальной безопасности и обороны (СНБО) о введении санкций против 182 юридических и трех физических лиц. Утверждается, что они связаны с перевозками по железной дороге военнослужащих и военной техники.

[club23482909|@kommersant]",10
