post_id,text,comment_time
1756398,"У нас в тюрьмах преступников то не осталось, одни неугодные власти, а уголовники на свободе теперь разгуливают благодаря Пригожину",1674489846
1756398,Пригожин и Путин срочно разгружают зоны от зэков. А вопрос: для кого они эти зоны освобождают? Кем они их вместо убийц и грабителей наполнять будут?,1674489923
1756398,"Вот действительно видна забота государства о россиянах! ) Ведь могут, когда захотят! Видимо  пайка государева  до арестантов  совсем не доходит, а оседает в нужных карманах.",1674490691
1756398,Созывают что ли к лучшей жизни😅 реклама скоро тюремочка 🤣😅,1674499271
1756398,"А в больницах они не хотят улучшить питание, чтобы люди здоровее были, а не наоборот",1674499440
1756398,Где можно ознакомиться с указами о помиловании,1674538746
1756398,Рекламная акция по привлечению защитников отечества в СИЗО...,1674563888
1754848,НЕ УДАЛОСЬ,1674433276
1754848,"Может лучше про Россию писать, очень много забугорных новостей 😢",1674443000
1754848,,1674445590
1754848,В РФ тем временем прорыв !!!,1674447569
1754848,"так индексировали меньше инфляции вот и не защитила, в РФ индексировали на 20% и это помогло малообеспеченным гражданам",1674455001
1754848,Зато у нас защитили🤦🏻‍♂️!!!,1674477789
1754848,НЕ УДАЛОСЬ,1674433276
1754848,"Может лучше про Россию писать, очень много забугорных новостей 😢",1674443000
1754848,,1674445590
1754848,В РФ тем временем прорыв !!!,1674447569
1754848,"так индексировали меньше инфляции вот и не защитила, в РФ индексировали на 20% и это помогло малообеспеченным гражданам",1674455001
1754848,Зато у нас защитили🤦🏻‍♂️!!!,1674477789
1746014,"А кому сейчас легко? Вон Путин говорит, в 2022 какие-то риски возникли неожиданно. С чего бы это вдруг.",1674081596
1746014,,1674082333
1746014,"Лучше бы они ждали не мягкой, а готовились к более худшим последствиям , так как прогнозы у экономистов по поводу финансового положения Америки не очень то и радужные",1674085898
1746014,Почему мягкой ?,1674094770
1746014,"Рецессия, инфляция, это нормально, спад экономики — главное теперь низвести роль США в Украине как произошло в Афганистане — Талибы разрушили образ ложной democrazy США и обратили их в бегство — аналогичное нужно повторить в Украине!!!  Такие наклейки в США набирают обороты!",1674101890
1746014,"США в очередной раз развязали войну,чтобы отсрочить свой кризис ещё лет на 50. В этом вся суть американской политики",1674111929
1745087,Меньше чем в Европе),1674050667
1745087,"Для него нарисуют, какую скажет. Ребята не подведут. Даже соцопрос подтвердит потом, если надо.",1674050695
1745087,"Ему-то какая разница, он на гособеспечении вместе со своими машинами, дачами и шмотками",1674050726
1745087,Какой то прям инфляционый президент.,1674050738
1745087,Каждый день новая весть часы минуты и секунды меняются как непоспоришь в сводку новостей что так что по-другому главное даить быка вот беда молоко ведь бык даёт унас везде куда неплюнь совсем уже смотреть уж неохото а смотришь посторонам везде пипец какой-то полный и что уж делать непонятно каждый день то верх то вниз или шаг назад а потом вперёд они уж делают обманом умеют веками 🤣🤣🤣🤣🤣 шутка,1674050883
1745087,А почему бы инфляцию не отменить очередным указом? И песков подтвердит,1674051018
1745087,"Слушайте, а судя по фото путлера сплавляют?",1674051103
1745087,Меньше чем в Европе),1674050667
1745087,"Для него нарисуют, какую скажет. Ребята не подведут. Даже соцопрос подтвердит потом, если надо.",1674050695
1745087,"Ему-то какая разница, он на гособеспечении вместе со своими машинами, дачами и шмотками",1674050726
1745087,Какой то прям инфляционый президент.,1674050738
1745087,Каждый день новая весть часы минуты и секунды меняются как непоспоришь в сводку новостей что так что по-другому главное даить быка вот беда молоко ведь бык даёт унас везде куда неплюнь совсем уже смотреть уж неохото а смотришь посторонам везде пипец какой-то полный и что уж делать непонятно каждый день то верх то вниз или шаг назад а потом вперёд они уж делают обманом умеют веками 🤣🤣🤣🤣🤣 шутка,1674050883
1745087,А почему бы инфляцию не отменить очередным указом? И песков подтвердит,1674051018
1745087,"Слушайте, а судя по фото путлера сплавляют?",1674051103
1743269,,1673992379
1743269,😂😂😂😂😂😂😂😂😂😂🤣🤣🤣,1673992473
1743269,Тем кто это писал .. самим не смешно,1673992494
1743269,Как не смог Путин победить бедность в России за 23 года так не победить ему Украину,1673992614
1743269,,1673992664
1743269,"А то, что многие российские типа чуть чуть американские фабрики и т, п ебашать в помощь западной Украине едой, и т, д, это не смешно у нас под ухом!!!",1673992850
1743269,,1673992873
1743269,Если бы цены на энерго ресурсы понизили бы все и стало бы хорошо и цены в магазинах упали сами собой если топливо дешевле то и доставка дешевле и не кому зарплаты поднимать не на до было-бы и инфляци не былобы,1673992983
1743269,"Бороться с бедностью сродни борьбы с ветряной мельницой... возникает вопрос, наши чинуши настолько тупы, что задачи должен каждый раз ставить для них президент? Это должно происходить само собой! А если он молчать будет, интересно, чинаши в ступор впадут? какие же тупые у нас люди",1673993063
1743269,В новый год с  новым вагоном бредовых фантазий!,1673993395
1742235,А кто-нибудь ему реальные цифры показывает???,1673957405
1742235,"Путин ведет страну к развалу, развалил сперва экономику, теперь проигрывает войну и потерял уже большую часть армии, а мобики будут умирать моментально, они не понимают что и как делать.",1673957414
1742235,,1673957468
1742235,"Какое удачне фото нашли для этой статьи. На ней Путин как Кашпировский, как будто воду заряжает по телевизору",1673957474
1742235,"С 1 января 2023 г. в России в среднем на 9% вырастет стоимость жилищных услуг, а ранее, с 1 декабря 2022 г., уже были проиндексированы коммунальные тарифы. Прежде суммы в платежках увеличивались 1 июля каждого года. Принятое решение позволит регионам более полутора лет не проводить индексацию тарифов, отмечают в Минэкономразвития России. Следующий пересмотр тарифной сетки по планам произойдет не раньше 1 июля 2024 г.
https://www.vedomosti.ru/gorod/ourcity/articles/vtoroi-etap-povisheniya-tarifov-na-zhku-v-rossii-proidet-1-yanvarya",1673957629
1742235,"Путину, наверное, как Салазару, печатают газету про то как всё хорошо — в одном экземпляре.",1673957903
1742235,"Лучше бы рассказал сколько тонн золота вывезли из страны, сколько денег выведено в офшоры, и почему армия не воюет, а на убой посылают людей наспех обученных держать оружие!!!",1673958365
1742235,,1673960692
1742235,"путен опять ВРЁТ,как путен.
ничего нового.",1673963813
1742235,"Такое чувство складывается, что Вы  не жили в 90-х, когда страна ушла в древний мир, зарплату по году не платили, или Вы дорогие не помните этого, были наверное маленькими засранцами, а наше поколение почти гавном питалось, а Путин, со всеми своими недостатками  просто взялся, и порешал вопросы- не все, но и мы не подарки, только дай, а сами-то что сделали, - на баррикады выходили, или трудились как боги-----нет-— водку пили и ругались, как плохо жить. А сейчас хоть с голода никто не умирает, и пенсии не раз в пол года получаешь,а день в день, и только не кричите, что пенсии маленькие, а когда их вообще не платили, и люди старики от голода умирали, а в разборках погибло за 10 лет больше в сотни раз, чем в Афгане з а 10 лет войны. Не ругайте Путина, мне он лично вернул веру в жизнь, а вот для хорошей жизни ещё нужно время, и самому идти искать работу и не стонать!",1673963946
1740887,Надеюсь дожить до России в которой перестанут рисовать выдуманные цифры,1673885045
1740887,"Не верьте своим глазам, верьте официальным цифрам. Вот только рост цен гораздо выше, чем видится в их расчетах.",1673885179
1740887,И это еще нефтью можно было торговать.,1673886306
1740887,"П...т как дышат, а дышат часто.",1673886723
1740887,А по ощущениям все 40%😂,1673888074
1740887,"рсстат шляпа,как и левада был",1673890928
1740887,Это они в  Америке что ли посчитали ?,1673900232
1740887,"На автозапчасти цены выросли примерно в 2 - 2,5 раза. Какие нах 12%...",1673935411
1737263,кошельки не обманешь - там все гораздо хуже чем в статистике официальной,1673634728
1737263,"Верим, верим..мы же в магазины не ходим..",1673636289
1737263,А почему на коммуналку подняли тарифы на 15%????,1673647766
1737263,А обьявляли вроде 8%!еще Путин же сказал что поднял пенсию на размер инфляции! Че опять соврал что-ли?,1673663004
1737263,Нечего переживём,1673673105
1737263,"Где правда! Сегодня читала что в 14%,теперь уже в 11%,др этого вообще орали про 8%🤣🤣",1673698098
1734557,Всего то? Дети.,1673533481
1734557,"А разговоров то было про то, как Запад загибается",1673533589
1734557,Это только в телевиZоре все загибается у них,1673533678
1734557,"Инфляция в России как поживает ?)
А то опять чужие соринки осматривает, а на свои не смотрим ?",1673560863
1732488,"Мы верим, верим...Мы же в магазины не ходим...",1673446042
1732488,"Даже много назвал 5-7%, не более...",1673446123
1732488,"Но вообще-то, Соломон Соломонович и Павел Гаврилов, инфляция и цены в магазине немного разные понятия. Ну, хотя бы потому, что опасаясь, что инфляция по факту будет гораздо больше, чем прогнозы по ней, заранее стараются ценой подстраховаться, чтобы бизнес не стал убыточным. И правительство здесь никак не участвует. Научитесь умственные херы свои от пальцев 21-х своих отличать. А это констатация факта по вам.",1673446518
1732488,Сказочки.,1673446527
1732488,Спасибо за красивые цифры с потолка.,1673446876
1732488,Менять надо министров на более лояльных,1673448369
1732488,Всё для народа. Всё!,1673449105
1732488,"Значит, зарплату поднимут на 12%. Хорошие новости!",1673505782
1732488,"Мы верим, верим...Мы же в магазины не ходим...",1673446042
1732488,"Даже много назвал 5-7%, не более...",1673446123
1732488,"Но вообще-то, Соломон Соломонович и Павел Гаврилов, инфляция и цены в магазине немного разные понятия. Ну, хотя бы потому, что опасаясь, что инфляция по факту будет гораздо больше, чем прогнозы по ней, заранее стараются ценой подстраховаться, чтобы бизнес не стал убыточным. И правительство здесь никак не участвует. Научитесь умственные херы свои от пальцев 21-х своих отличать. А это констатация факта по вам.",1673446518
1732488,Сказочки.,1673446527
1732488,Спасибо за красивые цифры с потолка.,1673446876
1732488,Менять надо министров на более лояльных,1673448369
1732488,Всё для народа. Всё!,1673449105
1732488,"Значит, зарплату поднимут на 12%. Хорошие новости!",1673505782
1729477,"Значит усилят. Вот только нам помочь некому, а тем временем инфляция запредельная, а платежки за ЖКХ бьют все рекорды.",1673350551
1729477,,1673350637
1729477,"Нас простых людей больше волнует почему же нашим ребятам никто не помогает?
Где ведущая партия ЕР, патриоты МГЕР,чиновники 1млн 455тыс и их сыновья???
Почему жены N1,2,3 и разнобой рожденные дети  чиновников не плетут милитари-сетки хотя б? Не вяжут теплые вещи мобилизованным?
Простой народ сами по себе захлебается кровью на войне,а чиновники сами по себе балдеют своей роскошной жизнью.
Так мы никогда и не победим.Вот поэтому и скоро год двухмесячной войне по плану.
Путин поступает некрасиво со своим народом,нет единения чиновников и простого народа в процессе кровопролитии.Чиновники чураются крови.
Это недоработка.

А ведь очень просто.Выйти из зоны комфорта и плечом к плечу бороться с врагом если они на самом деле есть ,как показывают видеомонтажи очень убедительно.
Чиновники сказали что есть фашисты,они видели, и для нас снимали видеозаписи с фашистами.Нам показывают чтоб мы боялись,а сами не боятся...
Мы боимся конечно,слово ""фашист""или ""змея"" <-вот эти два слова вызывает автоматическом уровне сразу страх генном уровне.Это срабатывает.",1673351161
1729477,"Такое впечатление, что они действительно боятся нападения России на НАТО...",1673351669
1729477,Xoxлы уже успешно пpocpaли более 95 млрд $ военной помощи.,1673351893
1726738,"В отдаленьи от Европы, 
Где Земли проходит край, 
Правил Царь – конечно, добрый, 
Молодой, спортивный, бодрый – 
Там пингвинов он покорных 
Обещал отправить в рай. 
 
Каждый день, по распорядку, 
Телерадиоэфир 
Сообщал, что всё в порядке – 
Урожай растёт на грядках, 
Рыбка тралится, и чахнет 
Остальной враждебный мир. 
 
Нет причин для беспокойства – 
Под контролем всё вполне: 
Власть от Бога – непорочна, 
В экономике – всё прочно, 
Всех сильней пингвины точно 
Дрессированы уже. 
 
Стая птиц – они ж как дети, 
Помани – пойдут гурьбой, 
И стриги с них пух да перья, 
Брякнешь им про долголетье – 
И добавят пятилетье 
В пенсионный возраст свой. 
 
Коли вверх идёт оплата 
Ипотечного жилья – 
То вина лишь супостатов 
Из враждебных, злобных Штатов, 
А не взяток и откатов 
В рамках местного жулья. 
 
И не надо обострений! 
Митинг птицам не к лицу – 
То обычай чуждых прерий 
Да лесов, где злые звери, 
А пернатым дОлжно верить 
В мир, любовь и доброту. 
 
Пшиком вышел рост зарплаты 
От инфляций многих лет? 
Строить домыслы не надо – 
То вредит коварный Запад! 
За паёк трудись, пернатый, 
Свой недолгий птичий век. 
 
Память птиц, увы, непрочна – 
Лет с десяток уж назад 
Обещал великий кормчий, 
Что с отсталостью покончит, 
Миллионы мест рабочим 
Модерновых он создаст. 
 
Только, видно, крыльев всё же 
Невелик его размах: 
Хоть в дворцах он спец хороший, 
Клювом лишь пощёлкать может, 
Тут и там проблемы множит 
В государственных делах. 
 
Вот и вышла неувязка, 
Что повсюду лишь провал! 
Пингвинарий верил в сказку, 
А выходит, что напрасно, 
Но коварный план запАсный 
Приготовил интриган. 
 
Дабы всех оставить с носом, 
Всюду плотно рассадил 
Он своих партайгеноссе – 
Те с него не ищут спроса 
И законы за бабосы 
Принимают вместе с ним. 
 
Кто не видит улучшений – 
Тот враждебный элемент! 
Чтобы не было двух мнений, 
Было принято решенье, 
Что пингвин, в ком есть сомненья, – 
Иностранный злой агент. 
 
Тот, кто шибко недоволен, – 
Дело скользкое, смотри! 
Не играй, пингвин, с судьбою: 
Бац об лёд – и нету боле, 
Держат льдину под контролем 
Сплошь матёрые моржи. 
 
Те, кто клюв пугливо пряча, 
Выйдут группкой побузить – 
Экстремисты, не иначе, 
Схватят их и раскулачат, 
Перья выщипав, запрячут 
Лет на десять, может быть. 
 
Ну и вишенка на торте: 
Молодёжь свою любя, 
Царь предпринял хитрый фортель – 
Сплавил ввергнутых в невзгоды 
Сгинуть на бесславном фронте 
За великого себя. 
 
И не надо инноваций! 
Думать, строить и творить – 
То забавы праздных наций, 
Только склеят скоро ласты: 
К ним идёт пингвин зубастый, 
Чтоб нацистов там добить. 
 
Как наивна вера птичья! 
Только пропасть глубока – 
Там, под сказкой про величье, 
Сам фашизм скрывал обличье, 
Гнёт, бесправие, бессилье – 
Плод политики царька. 
 
Так решаются проблемы 
В отдаленьи от Европ: 
Либеральной нету скверны, 
Оппонент любой – повержен, 
И ничто не треплет нервы 
Льдиной правящих особ. 
 
Вот такая жизнь на льдине 
У далёких берегов. 
Хорошо, что в нашем мире 
Нету тех страстей пингвиньих, 
И гуманный, справедливый 
Дух царит спокон веков. 
 
И. Розгут - ""ОБЫКНОВЕННЫЙ ПИНГВИНИЗМ""",1673253228
1726738,"Найдут человека, статью придумают.",1673253300
1726738,"всех ""преступников"" уже в розыск объявили?))",1673253354
1726738,"В нашей стране теперь все достойные люди или в розыске, или иноагенты.",1673253369
1726738,Гуманиста и мецената в розыск объявить всего лишь за его антивоенную позицию это и есть авторитаризм и обыкновенный фашизм.,1673253399
1726738,В Израиле искать не пробовали?,1673256081
1726738,Ещё одно дерьмо.,1673256977
1725725,"это уже проходили, новые версии видимо не могут придумать",1673203094
1725725,,1673203109
1725725,"Ну все понятно, опять какую-то подлость задумали и заранее вину на других спихивают. Так беспалевно вообще",1673203160
