post_id,text,comment_time,from_id
3442383,Взаимно,1704043034,317524419
3442383,,1704047920,559627852
3442383,,1704050921,403647580
3442383,,1704059231,523533363
3442383,"С наступившим всех новым годом! Хочу пожелать еще нам всем никогда не останавливаться на достигнутом, и идти только вперед по пути развития, несмотря ни на какие преграды!",1704066271,767158214
3440385,"Это был тяжёлый год. Был он тяжелей, чем тот. Но приходит Новый год.....",1703938370,294479526
3440385,Когда первые торги в  новом году?,1703944444,6057619
3438436,"а почему конкуренция при параллельном импорте хуже, чем официальном?",1703849774,460581962
3438436,,1703849986,10274504
3438436,"""Параллельно, по неофициальным данным, производители предлагали регуляторам усилить контроль за исполнением госкомпаниями и компаниями с госучастием требований по соблюдению квот на закупку российской техники"".
То есть, чистой воды сссрия: ""Добровольно и с песнями, или Если не будут брать - отключим газ"".",1703851029,1302320
3438436,"Российские товары, которые до войны в Украине продавались в Европе, оказались никому не нужны в «дружественных» странах, заявил первый вице-премьер РФ Андрей Белоусов. 
 
«Когда мы говорим „нас не пускают на рынок Европы, где мы раньше были, и нам нужно выходить на рынки дружественных стран“, мы должны четко понимать, что на рынках дружественных стран нас никто не ждет. Эти рынки заняты либо товарами самих дружественных стран, либо их конкурентами — теми же европейскими товарами», — сказал Белоусов",1703851229,206844113
3438436,Как увязывается сказанное в статье с заявленным подъёмом российской экономики до уровня пятого места в Мире? В чем фокус????,1703855683,4823178
3438436,,1703856603,704343711
3437225,"Это если не вникать в детали. 
Пользовался на днях импортозамещенной ПСУЛ- лентой (для окон).
Времени на её наклейку нужно в два раза больше, т.к. защитный бумажный слой отдирается маааленькими кусочками😡.
И так во всём.",1703793034,6057619
3437225,"Скотч у нас тоже свой есть , чтобы скреплять.",1703793838,154392654
3437225,стойко пережила воздействие санкций🤣🤣🤣,1703797411,20903048
3437225,"Писаки или Псаки, кто такое написал ? Все так плохо у kommersant.",1703797954,710608158
3437225,"Ну по сути все равно самые такие реально проблемы, Россия обогшла и санкции прям так с ильно никак не повлияли вообще",1703802082,767362468
3437225,"Ну, за отсутствие газовых турбин скажите спасибо Мордашову и К, которому ""Силовые машины"" передал наш великий подниматель страны с колен.
А вот про офигенно незаменимое ПО для станков - бред. Если есть станок, а на нём установлены все линейки и датчики, то к нему можно подключить любую систему ЧПУ.",1703805178,3205329
3437225,К более старым технологиям. Приехали. Это рывок. Только не вперед.,1703812023,626382510
3437225,"Значит, надо вот уже  сегодня начинать делать профильные НИИ и производства. Вопрос всего ли, или расставить отраслевые  приоритеты",1703825097,538230515
3437225,"У компаний?
Это у государства(!!!) почти не осталось времени на подготовку к следующему этапу противостояния. Или кто-то надеется на перкговоры и снятие санкций?",1703836520,21733256
3435630,"""Шо опять.....""?!🤣",1703738061,212943413
3435630,"Что такое 250 млн?
Россия переводит Украине за транзит газа в 6 раз больше.",1703741508,70414730
3435630,"250 млн долларов как капля в море после миллиардов, что им выделялись. это разве не говорит о том, что США постепенно прекращают уделять внимания Украине?",1703745340,809527416
3435630,"США абсолютно ничего не могут сопоставить России ,Россия защищает свой суверенитет",1703757751,487025938
3435630,"и по итогу Киев все перепродаст и все, а это так то последнее вооружение от США",1703762173,732791222
3435630,"Надо эти деньги которые выделили на снаряды Хамерсли и на другие установки нам оправдать ,тоесть разбомбить до их подходов.Америка-это с…а будет снабжать всё равно.Самолёты откуда вдруг появились не запылились,а всё говорят,что нет и не будет.Откуда плывут снаряды которые до сих пор бомбят и Феодосию в том числе досталось.Такое чувство,что всё равно будут снабжать не Америка,так другая страна.Хотя бы вникали украинцы,что их добьют до конца,Зеленский со своей сворой за границу удерёт.",1703768203,812234172
3435630,"Лене зеленской набрюлики, хватит, не хватит,вы просят, сидите хохлушки в подвалах, об вас не думают, потерпите.",1703771523,611680249
3435630,,1703771594,611680249
3435415,11 первых дней декабря и 11 происшествий. Ничего не изменилось,1703728048,20903048
3435415,В каких случаях работодатель оплачивает авиаперелёты?,1703766297,370726554
3434857,"Правильно,не фиг провокаторам в России гадить!",1703697204,784311116
3434857,"Kā tev iet?
Красильщик Илья (русский)!",1703699066,370726554
3434405,Китайскими запчастями импортозаместили что ли?),1703686486,827202488
3434405,"Отрадно, что первые подобные поезда уедут на Урал же, где их и производят, а не в Москву",1703686857,70414730
3434405,А где фото Финиста?,1703686879,13562041
3434405,А что не в Москве совершит первый рейс?,1703687134,420447217
3434405,"Отличное название👍🏻
Я за него голосовала.
ФинИст!",1703688808,5313488
3434405,Теперь Финист будет покорять сердца жителей нашей страны своим удобством и скоростью!,1703690387,755302659
