id,owner_id,post_time,post_text,comments.count
2524568,-17862264,1703930589,"Цены в 2024 году году продолжат заметно расти — на это есть две причины, совладать с которыми невозможно, говорит в беседе с АиФ экономист Пётр Кирьян.

📍💬 «Во-первых, продолжится рост и балансировка производственных издержек, — пояснил эксперт. — От расхода на персонал, до стоимости перевозки, от ставок по кредитам до скорректированных цен на импорт. Производители как могли сдерживали общий рост отпускных цен, но этот процесс не может быть вечным. Во-вторых, будет идти поиск баланса между интересами покупателей и поставщиков или производителей товаров и услуг».

Чтобы платить персоналу пристойные зарплаты и вовремя их индексировать, надо увеличить выручку. То есть повысить отпускные цены.

Возвращение потребительской инфляции оказалось особенно неприятным для россиян. Эта инфляция — в том числе эхо ковидных мер, когда власти принимали решения для поддержки экономики в период жесткой заморозки деловой активности, объясняет Кирьян. Да и санкции дают о себе знать.

📍💬 «Хорошая новость — это то, что повторения 1990-х не будет. Сегодня экономика имеет и работающую учетную ставку ЦБ, и разные механизмы борьбы со спиралью роста цен. А главное — опыт профильных министерств и структур в части купирования инфляционных рисков. Такого задела и компетенций тридцать лет тому назад не было».

Подробнее — на АиФ:

https://aif.ru/money/market/dva_drayvera_ekonomist_kiryan_rasskazal_chto_budet_s_cenami_v_2024_godu",92
2521383,-17862264,1703824200,"Заместители глав Банка России и Министерства финансов Алексей Заботкин и Иван Чебесков сообщили о возможном снижении ключевой ставки ЦБ в 2024 году.

По словам Заботкина, ЦБ понадобится продолжительное время удерживать ставку на высоком уровне и проводить жестко-денежно кредитную  политику. ""Вместе с тем октябрьский прогноз предполагает средний уровень ключевой ставки на 2024 год в диапазоне от 12,5% до 14,5%, что означает снижение ставки. В какой момент оно начнется — зависит от скорости замедления инфляции и снижения инфляционных ожиданий"", — объяснил Заботкин.

В Министерстве финансов, в свою очередь, ожидают, что цикл снижения ключевой ставки Банка России начнется к концу следующего года.

Опросили экспертов, когда и как начнет снижаться ключевая ставка:",4
2517787,-17862264,1703686804,"Недавно избранный президент Аргентины Хавьер Милей начал шоковые реформы аргентинской экономики. Он закрыл десять министерств, объявил о приватизации госкомпаний, резко девальвировал курс национальной валюты.

В стране уже начались протесты из-за резких мер нового президента, однако Милей не намерен останавливаться. Он грозит карами манифестантам и собирается объявить народный референдум о поддержке его реформ в случае, если их заблокирует парламент.

Одна из первых мер — девальвация национальной валюты на фоне дикой инфляции, которая в ноябре составила 12,8%, а за 11 месяцев превысила 148%. Теперь правительство опустило курс песо более чем в два раза — с 365 песо за доллар до 800. Вслед за этим Милей заявил, что будут напечатаны новые банкноты номиналом в 20 000 и 50 000 песо.

О других реформах в Аргентине читайте в материале АиФ:",22
2517301,-17862264,1703673300,"В наступающем 2024 году нас ждет удорожание ряда продуктов. Цены на большинство продовольственных товаров зависят от урожая, который в свою очередь определяется природно-климатическими условиями в странах-поставщиках. Об этом АиФ рассказала к. э. н., доцент кафедры государственных и муниципальных финансов РЭУ им. Г. В. Плеханова Мария Долгова.

Так, в этом году пострадали от засухи страны, где выращивают кофе, какао, апельсины — это привело к росту фьючерсов на биржах. Также в будущем году ожидается рост мировых цен на сахарный тростник.

В то же время экономист отметила, что удорожание ряда товаров — молочки, рыбы и морепродуктов, будет в пределах потребительской инфляции. А самый существенный рост цен из-за повышения акцизов ожидается в категории алкогольной и табачной продукции.",28
2515600,-17862264,1703619359,"❕Правительство Российской Федерации 26 декабря утвердило индексацию отдельных видов выплат российским военнослужащим на 4,5%

Об этом говорится в постановлении, размещенном на официальном портале публикования правовых актов. Документ вступит в силу 1 января 2024 года.

💬«Исходя из уровня инфляции, осуществить индексакцию с применением коэффициента 1,045», — отмечается в постановлении.

Меры поддержки коснутся выплат военнослужащим, сотрудникам федеральных органов исполнительной власти, а также уволенным со службы гражданам и лицам, проходившим сборы. Кроме того, вырастет размер компенсации для россиян, проходящих службу в добровольческих формированиях.",22
2514435,-17862264,1703591622,"📈 Что будет со скоростью роста цент в 2024 году? 
 
В наступающем 2024 году темпы замедлятся, поделился с АиФ прогнозом завлабораторией анализа институтов и финансовых рынков РАНХиГС Александр Абрамов. 
 
📍💬 «Для лучшего понимания будущей инфляции нужно оглянуться в прошлое, — указал эксперт. — В 2022 году темпы роста цен составили 11,8%, в текущем году — 7,5%, в 2024 году Банк России ожидает 4-4,5%. Прослеживается четкая тенденция на затухание инфляции», — привел статистику Александр Абрамов. 
 
Правда, даже при очень жесткой денежной политике, проводимой ЦБ, оценка динамики роста цен на 2024 год выглядит чрезмерно оптимистично. Инфляция в наступающем году будет выше на 1-2% прогноза Банка России, считает специалист. 
 
📍💬 «Воплотить прогноз ЦБ будет трудно, скорее всего, общий рост цен в наступающем году будет чуть выше ожидаемых значений и составит 5-6%, но снижение темпов инфляции в 2024 году однозначно сохранится», — заключил эксперт. 
 
Инфляция в наступающем году будет выше на 1-2% прогноза Банка России.",24
2511393,-17862264,1703515060,"🥚Банк России сообщил о росте инфляционных ожиданий населения в декабре до 14,2%

Это максимальное значение с весны 2022 года и оно на 2% выше, чем в предыдущем месяце. Об этом сказано в новом выпуске информационно-аналитического комментария ЦБ.

Отвечая на вопросы о росте цен на отдельные товары и услуги, россияне в декабре в первую очередь указывали на удорожание яиц, а также мяса и птицы. Обеспокоенность участников опроса ростом цен на эти товары в декабре была максимальной за год. При этом реже, чем в прошлом месяце, респонденты стали сообщать о росте цен на бензин, лекарства, молоко, бытовую химию.

💬«От инфляционных ожиданий экономических агентов зависит, насколько эффективно денежно-кредитная политика будет контролировать инфляцию. Ведь предприятия, кредитные организации и домохозяйства принимают решения о потреблении, сбережении и инвестициях, устанавливают цены товаров и ставки по кредитам и депозитам, в том числе исходя из своих ожиданий относительно будущей инфляции. В свою очередь, результаты денежно-кредитной политики Банка России влияют на инфляционные ожидания».

При этом в ЦБ отметили, что оценки инфляционных ожиданий и наблюдаемой инфляции на основе опросов населения и в России, и в других странах почти всегда выше фактической инфляции. Это расхождение связано с особенностями восприятия: людям свойственно замечать рост цен и активно реагировать на него, тогда как снижающиеся или стабильные цены обычно привлекают меньше внимания. В результате люди судят об инфляции в большей мере по наиболее подорожавшим товарам. Тем не менее, инфляционные ожидания — очень важный индикатор, позволяющие регулятору судить о возможных изменениях в экономическом поведении населения.",11
2511001,-17862264,1703506200,"💬«У нас десятки миллионов человек имеют непогашенные кредиты и займы, часто люди берут новые кредиты для погашения старых, и рост кредитных ставок для них выступает очень серьезной угрозой. Быть в долгах можно, когда ставки стабильны или снижаются, тогда каждый последующий кредит обходился бы дешевле. Но сейчас ситуация обратная — кредиты дорожают и пока не очень понятно, сколько это продлится. С другой стороны, высокие ставки выгодны тем, кто держит свои рублевые сбережения на депозитах».

💬«Инфляция может оказаться более устойчивой, чем ожидается, например, из-за дефицита трудовых ресурсов. В этом случае Центробанк будет держать ставки в экономике высокими продолжительное время. Не несколько месяцев, как сейчас многие думают, а несколько лет, и такая ситуация не будет способствовать экономическому росту»

Наступающий 2024 год угрожает кошельку россиян непредсказуемым ростом цен, нестабильным курсом рубля и финансовыми ловушками. Как не потерять деньги и голову в круговороте событий, в интервью aif.ru рассказал доцент экономического факультета МГУ, главный экономист рейтингового агентства «Эксперт РА» Антон Табах.",5
2510931,-17862264,1703504760,"🍗🍅В 2024 году представляется наиболее вероятным рост розничных цен на товары повседневного спроса — мясо и мясные продукты, кисломолочные продукты, а также овощи.

💬«Это связано с сохраняющимся высоким обменным курсом доллара и систематическим ростом расходов на транспортировку. Также можно утверждать, что 2024 год продукцию, так же на 10-20% в среднем по году. Кроме того, вполне вероятен рост цен на 10-12% на автомобили, импортируемые из-за рубежа, а также до 15% на такую бытовую технику: холодильники, стиральные машины, микроволновые печи"".

💬«Многие производители заявили, до конца года еще удержат цены, а с января начнут повышать на 5-10%. Даже крупнейший производитель молочной продукции объявил, что подорожают йогурты, кисломолочная продукция. Да, в пределах инфляции, но тем не менее. Причём не только из-за издержек производителя, но из-за отсутствия упаковки, тары, подорожали перевозки».

Повысятся ли цены на продукты в 2024 году? АиФ разбирался вместе с экспертами:",30
2510651,-17862264,1703499061,"🥚Резкий рост цен на яйца связан с высоким спросом

Рост цен на куриные яйца в России связан не только с высокой инфляцией, но и с увеличением спроса, который значительно опережает предложение, об этом в интервью РБК заявила председатель ЦБ РФ Эльвира Набиуллина.

💬«Есть искушение связать высокую инфляцию с каким-то видом товаров, но, к сожалению, там есть общие причины. Прежде всего в нашем случае это то, что высокий рост спроса опережает возможности предложения».",135
