post_id,text,comment_time,from_id
266807,"А как же, конечно. Возле наших границ творится чёрте что, а мы сложим лапки и будем наблюдать?",1695021571,219523024
266607,"Главное, чтобы людям было полезно.",1694123321,9560286
266336,Известная тема. Компенсация 2% от рыночной сцены активов?,1692950236,710313517
266336,"О, интересно, за счёт чего ""компенсировать"" будут?) Дайте угадаю, ФНБ? А ведь резервы изрядно сократились. А уж про ДДС разве что нецензурно выражаться останется...",1692970706,129658462
266218,"Оценивать успешность госпрограмм можно по-разному. Можно вот так, а можно и более реалистично: https://www.vedomosti.ru/economics/articles/2023/07/05/983765-minek-otsenil-realizatsiyu-gosprogramm.",1692643532,129658462
266218,"Ну внедрение цифровых технологий и правда облегчает всем жизнь. Даже взять бизнес. Никому не захочется бегать по городу, чтобы получить какой-либо документ, и сейчас это можно сделать не выходя из дома, грубо говоря. Но так же, наш бизнес получает не только комфортные условия для получения ценных бумаг, им еще оказывают поддержку. Благодаря которой они могут поднять свое производство и активно развиваться во благо страны. Даже за последние 4 года появилось более 40 тысяч предприятий и ИП, и ежегодно это число продолжает расти. 
https://www.mos.ru/news/item/128188073",1692698254,806708431
264805,"прочитал ""упоротые венгры""",1687519868,547428
264578,"Нууу не совсем так. Цифровая единая расчетная единица. Не рубль. Все-таки КНР не пойдет на принятие рубля. Да и остальные. Будет компромиссная ""цифровая монета"", которую могу привязать к активам, товарообороту стран и т.д. Силуанов ТАССу и CGTN это рассказывал.",1686738822,317011673
264578,Падающий рубль на 40 процентов в год не интересен как международная валюта. Международная валюта должна быть стабильной. Тот же юань - вариант.,1686745520,710313517
264063,помочь им нужно? или что?,1684653661,16247140
264041,"Благодаря своей независимой государственной политике и, что особенно важно, активно поддерживаемым экономическим связям с США Китай вполне способен предотвратить ситуацию, когда американские санкции против России станут политическими и экономическими ограничителями для всего мира.",1684481649,794470419
263914,Шах и мат- господин Маск👍,1684047814,1621944
263890,"откровенно говоря, отключение россии от свифт скорее подтолкнет к созданию своей платежной системы совместно с другими странами. Той системы, которая не станет подчиняться западу и контролироваться им. К тому же, честно говоря, свифт уже устарел в плане технологий и не стремится совершенствоваться, а новые системы могут быть куда стабильнее и надежнеею",1683877969,791180315
263678,"Как по мне выгодоприобретатель неподходящий термин к сша. Они реципиент, а Европа донор, который разбирают на органы.",1682953822,746854226
263674,"Поздно пить минералку. Отечественные предложения многообразны и актуальны. Да, им нужно будет время, чтобы совершенствовать свои продукты, но это естественно и вопрос времени.",1682917814,746854226
263674,... кто-то ведь заявил о полном сворачивании бизнеса в России в прошлом году. Мы ведь это услышали...,1683508671,51377480
263458,"Помимо того, что Правительство выделило более 14 млрд рублей на программу льготного кредитования для малого и среднего бизнеса, также хотят увеличить на 9 млрд капитализацию Корпорации МСП, что позволит  предоставить гарантии для выдачи займов.",1682103966,790491797
263283,"Бум, рывок, прорыв, шокировали, аналогов нет,надрыв.",1681552898,230070393
263283,"Ну все, скоро заживем. (уже 50 лет постоянная блювотина)",1681557086,549857778
263176,"Что то слишком долго. Не одно поколение ушло на тот свет в ожидании ""Доллару конец"".",1681183368,35762039
263162,,1681132280,140543
263162,"20 лет прорывов не было , а тут после начала экономической войны « прорыв » обязательно должен произойти 🤷‍♂️🙃",1681133062,10565154
263162,ждем ламповый телевизор🤣,1681135910,38043255
263122,Роматом это пример для подражания.,1680978086,17930977
262700,"""Не верю!"" (К.С. Станиславский). "" И они посмотрели друг на друга как древнеримские авгуры (жрецы)""",1679638140,616161435
262483,списания со вкладов? ложные кредиты? ок. погнали цифровизацию дальше,1679077322,39799624
262150,"Уинстон Черчеилль, став премьер-министром Великобритании первым распоряжением приказал: ""Исполнять только мои письменные приказы!"" 
Президент США работает исполнительными приказами, распоряжениями, которые публикуются после их исполнения или немедленно!!! 
 
Банда в Кремле не может издать такой Приказ и принять такой порядок работы, потому что все их приказы ПРЕСТУПНЫ! 
 
В Кремле давно нет мозгов, либо эти мозги в жопе... 
 
Что будут делать обезьяны в Кремле, если расследование шизофреников приведёт к самим шизофреникам или их друзьям в Белоруссии и Польше. 
 
А что будут делать в Кремле, если в ответ на эти глупые обвинения Белый Дом США захочет опубликовать материалы расследования 11 сентября 2001 года, когда Путин, Иванов, Патрушев под видеокамеру рассказывают, кивая на Ельциных, что это они отдали приказ на проведение террористического акта 11 сентября 2001 года вместе с друзьями в Европе, по заказу Европы... 
 
В китайской мифологии, то что делают слабоумные шизофреники в Кремле, называется ""Дёргать тигра за усы"".",1677989646,461379477
262150,Я знаю хорошую лечебницу где могут подлечить твою шизофрению.,1677995725,720738261
262084,"""Знаете, что мне помогло больше всего? Гамно в штанах!"" Усейн Болт",1677696914,119630325
262084,"Уинстон Черчеилль, став премьер-министром Великобритании первым распоряжением приказал: ""Исполнять только мои письменные приказы!"" 
Президент США работает исполнительными приказами, распоряжениями, которые публикуются после их исполнения или немедленно!!! 
 
Банда в Кремле не может издать такой Приказ и принять такой порядок работы, потому что все их приказы ПРЕСТУПНЫ! 
Например, Дефолт 1998 года тоже носил ""чисто технический характер приказной характер"". Семь банков Москвы по договорённости с Кремлём Ельцина и КГБ Путина перестали перечислять налоги в бюджет, а деньги бизнеса и налогоплательщиков превращали в доллары и евро. Потом очень выгодно перепродали валюту сами себе! Европа была в восторге! 
 
В Кремле давно нет мозгов, либо эти мозги в жопе... 
 
Что будут делать обезьяны в Кремле, если расследование шизофреников приведёт к самим шизофреникам или их друзьям в Белоруссии и Польше. 
 
А что будут делать в Кремле, если в ответ на эти глупые обвинения Белый Дом США захочет опубликовать материалы расследования 11 сентября 2001 года, когда Путин, Иванов, Патрушев под видеокамеру рассказывают, кивая на Ельциных, что это они отдали приказ на проведение террористического акта 11 сентября 2001 года вместе с друзьями в Европе, по заказу Европы... 
 
В китайской мифологии, то что делают слабоумные шизофреники в Кремле, называется ""Дёргать тигра за усы"".",1677990417,461379477
261975,Среди импортёров  или экспортёров?,1677441076,9375687
261740,наши пирамиды позора мы и сами можем отливать в Железе!,1676570288,16247140
261740,Без топления не останемся - успокоили),1676571247,503929527
261740,"наши люди уже давно делают качественное сантехническое оборудование и расширяют производство, особенно за год, кроме того у китайцев мощные производственные комплексы - данфосс может сколько угодно уходить, никому уже он не интересен",1676573808,261684845
261740,"Да что бы мы, и без отопления. Звучит как анекдот) 
У нас кстати думаю что есть замена иностранному оборудованию в сфере ЖКХ, все же критически важная составляющая.
Да и если у нас производят лекарства, неужели нет производств которые закроют потребности ЖКХ? www.mos.ru/news/item/119969073",1676648398,620160157
261712,"Наплевать какой титул, что взамен дадите?! Свои зелёные бумажки себе оставьте",1676458125,54791279
261546,"Ребята оказались в том месте, в то время...",1675957487,51377480
261546,Молодцы!,1675959848,12697056
261546,"Ну, на английском написано. ) Очевидно, они не предполагают российского происхождения.",1675959934,219523024
261360,"Это говорит о том что часть отраслей все одно, генерирует прибыль. И этой прибыли не мало. А расчеты проходить будут всегда, не так быстро, через посредников, но проходить будут",1675451202,51377480
261360,"Ага. Пусть попробует ""не проинвестировать"")))",1675451344,548418968
260963,"Призыв, верный! Но похож на мечту. Для такого уровня нужны в разы большие инвестиции в НИОКР, другой уровень образования, другой уровень исследований. И время...",1673622861,51377480
260963,"Всё никак и никто не сможет импортозаместить. Огромным успехом будет цифра в 90% своего. А еще есть Китай, Индия и другие страны, которые не против нам что-то продать",1673623917,94373551
260963,"Систему образования надо настраивать так, чтобы дети еще в школе начинали верить в свои интелектуальные силы и их практическое применение. Умным и образованным быть выгодно сейчас. Для этого и программу обучения надо менять и учителей переучивать. А у нас министр образования рассказывает сколько школ построили за год, а не о системе образования и ее проблемах.. беда с этими чинушами менеджерами",1673629559,12697056
260963,Нужны заинтересованность и настойчивость властей в реализации хороших идей.,1673636428,77342254
260963,"Если пройтись по нашим техническим ВУЗам, то можно собрать огромное количество весьма актуальных изобретений. Но в условиях дорогих денег и отсутствия венчурного инвестирования, все они продолжат там пылиться. И новые 100 тысяч в год ждёт та же судьба",1673645613,557208055
260718,"Было сразу понятно, что воровские схемы сборки это тупик. Сейчас логично в 3 смены производить и 214е и 96е.",1672817142,710313517
260673,#ЦифроФашизмуНЕТ,1672666397,574229147
260642,"Прихватизаторы не эффективны. Только капиталы воруют у развития России.  Поэтому кризис после начала санкций показал : тот кто выводит капиталы из России и не возвращает экспортную выручку - это враг России. И результаты грабительских залоговых аукционов и серых приватизаций признать не законными, и вернуть предприятия в собственность государства. А также вместо вывода капитала провести новую индустриализацию, чтобы создать сети фабрик и заводов по производству всего необходимого внутри России. Без колонизаторов и вывода капитала.",1672586529,710313517
