id,owner_id,post_time,post_text,comments.count
3442383,-23482909,1704042840,"🎄 Дорогие читатели! 
 
Поздравляем вас с наступающим Новым годом! Пусть в 2024-м у вас будет больше надежных друзей и партнеров. А все недружественное и ненадежное смело подвергайте санкциям. 
 
Серьезные итоги делового года мы подводим в проекте «Эволюция замедленного действия». 
🔗 kommersant.ru/doc/6427226?vk

А несерьезные прогнозы на предстоящий год предлагаем узнать в нашей игре-гадании «От первого яйца». 
🔗 kommersant.ru/doc/6427141?vk

Если читать пока ничего не хочется, полистайте галерею наших лучших фотографий за год.
🔗 kommersant.ru/gallery/6411579?vk
 
Ваш «Ъ»",5
3440385,-23482909,1703930820,"Минувший 2023 год был непростым для российского рубля. В январе под влиянием сезонно низких объемов импорта рублю удалось удержаться против доллара ниже уровня 70 руб./$, но с началом действия потолка цен на российские нефтепродукты курс резко пошел вверх и к концу февраля закрепился выше $75 руб./$. 

В весенние месяцы американская валюта выросла в России еще на 6 руб., более чем до 81 руб./$, чему способствовало не только уменьшение объема поступаемой в страну валюты, но и увеличение импорта, а также спроса на валюту со стороны уходящих из страны иностранных компаний. 

В следующие три месяца курс прибавил еще около 20 руб. и впервые с марта 2022 года поднялся выше уровня 100 руб./$. В ответ на это власти приняли несколько мер поддержки рубля: Банк России приступил к агрессивному повышению ключевой ставки, правительство обязало экспортеров возвращать в страну большую часть валютной выручки и продавать ее на бирже. 

В итоге доллар завершил год на отметке 90,36 руб./$, прибавив за 12 месяцев почти 20,5 руб. (29,3%). Это худший годовой результат с 2014 года, тогда под влиянием санкций и падения цен на нефть курс американской валюты вырос за год на 23 руб, до 55,9 руб./$.",2
3438982,-23482909,1703858977,"Роман Троценко продал 69%-ную долю в корпорации АЕОН, сообщили РБК в компании. В корпорации уточнили, что 36% купил гендиректор АЕОН Дмитрий Мироненко, а 33% — глава угольного подразделения группы Александр Орехов.

Господин Орехов теперь займет пост председателя совета директоров корпорации, добавили в АЕОН.

Как сообщает издание, у господина Троценко после продажи контрольного пакета осталась 31%-ная доля в компании, он покинет совет директоров корпорации.

В АЕОН заявили, что на балансе компании, в которой прошла сделка, находятся все угольные активы корпорации — «Северная Звезда», «Воркута-Уголь», «Восток-уголь», а также активы в сфере недвижимости. При этом химические активы АЕОН и холдинг «Новапорт» в сделку не вошли. Сделка оценена в 20 млрд руб., выплата будет производиться в рассрочку, сообщили в компании.

В АЕОН заявили, что господин Троценко уменьшил свою долю в корпорации в связи с желанием сконцентрироваться на благотворительности в сфере развития городской среды и образования.

В компании напомнили, что по инициативе миллиардера разработаны мастер-планы модернизации ряда городов, в том числе Менделеевска (Татарстан), Кемерово и Воркуты (Коми). Он входит в попечительский совет школы-пансиона «Летово» и совет директоров школы управления «Сколково».

Господин Троценко основал корпорацию в 2007 году. В группу входят компании по жилищному и промышленному строительству, речному транспорту, управлению аэропортами, а также активы в ряде других отраслей. В 2021 году АЕОН заняла 193-е место с выручкой 51 млрд руб. в рейтинге 200 крупнейших компаний России по версии Frobes. В ноябре АЕОН и ее дочерние компании попали под санкции США.",0
3438436,-23482909,1703849466,"«Горшочек, не вари», плакала девочка в сказке братьев Гримм, утопая в каше. Этот сюжет в 2023 году начали проживать и участники российского технологического сектора.

Весь первый год военных действий и лавины ограничений бизнесмены и чиновники лихорадочно настраивали схемы, прорывающие санкционную блокаду. Но когда «дорога жизни» была успешно проложена, по ней началось такое движение, что теперь многие не рады.

Конкурировать с западной техникой, поступающей параллельным импортом, оказалось даже сложнее, чем с официальными поставками. А ведь просто так шлагбаум не опустишь — перекроется и то, что очень нужно.

Ситуация требует более тонких, гибких механизмов самоизоляции, которых пока, похоже, нет.",12
3437225,-23482909,1703792700,"Российская экономика так стойко пережила воздействие санкций, что возникает впечатление: проблемы в основном преодолены.

Но есть большая «слепая зона», связанная с оборудованием длительного цикла изготовления, которому российский бизнес не нашел аналогов в дружественных странах — их там просто нет.

У компаний осталось не больше нескольких лет, чтобы найти долгосрочное решение, иначе придется сокращать масштабы бизнеса или возвращаться к более старым технологиям.",23
3435630,-23482909,1703737200,"🔸 США объявили о выделении последнего в 2023 году пакета военной помощи Украине на $250 млн. В него вошли боеприпасы для средств ПВО, РСЗО HIMARS, артиллерии. 
Подробнее: kommersant.ru/doc/6428078?vk
 
🔸 В Москве, Подмосковье, Тверской области, Санкт-Петербурге и Лениградской области впервые вынесены решения о прекращении приобретенного российского гражданства по обвинению в совершении преступления. 
Подробнее: kommersant.ru/doc/6428083?vk
 
🔸 Министр финансов России Антон Силуанов сообщил, что доходы и расходы федерального бюджета по итогам 2023 года превысят показатели, заложенные в законе. 
Подробнее: kommersant.ru/doc/6428066?vk
 
🔸 Дефицита куриных яиц в России нет и не будет, цены стабилизируются после Нового года, заявила вице-премьер РФ Виктория Абрамченко.
Подробнее: kommersant.ru/doc/6428139?vk
 
🔸 Брокеры отмечают рост внимания Банка России к их действиям при возможном расширении западных санкций против российской инфраструктуры. 
Подробнее: kommersant.ru/doc/6428086?vk
 
#главноекутру",19
3435435,-23482909,1703721961,"Брокеры отмечают рост внимания Банка России к их действиям при возможном расширении западных санкций против российской инфраструктуры. 

В ЦБ говорят о регулярном проведении стресс-тестирования профучастников для проверки их финансовой устойчивости. Компании и сами вводят ограничения использования валютных активов клиентами. По мнению экспертов, одним из решений могла бы стать конвертация таких активов в валюты дружественных стран и золото.

#Ъузнал",0
3435415,-23482909,1703719560,"Как выяснил «Ъ», на конец 2023 года статистика безопасности полетов в России существенно не изменилась по сравнению с досанкционными временами. 

Средний уровень показателей остается неизменным с 2019 года, следует из предоставленных «Ъ» данных Росавиации и крупнейших авиакомпаний. В среднем в год происходит около 800 авиационных инцидентов, 60% из которых — из-за отказа техники. 

В то же время, как выяснил «Ъ», в этом году на 15–20% выросло число задержек вылетов – это связано как с погодой, так и с дефицитом запчастей и комплектующих. 

Эксперты отмечают, что делать выводы о полной компенсации санкций на таком коротком временном промежутке рано. Однако проверки отрасли со стороны контролирующих органов следует вернуть на доковидный уровень.

#Ъузнал",2
3434857,-23482909,1703695771,"Министерство юстиции России расширило список нежелательных организаций, включив в него латвийский медиафонд «Служба поддержки» (основатель — признанный иноагентом медиаменеджер Илья Красильщик), а также две американские и одну британскую неправительственные организации.

Помимо «Службы поддержки», нежелательной в РФ признана деятельность организаций Global Investigative Journalism Network («Глобальная сеть журналистов-расследователей»), True Russia Limited («Настоящая Россия»; включена в реестр иностранных агентов) и Russian America for Democracy in Russia («Русская Америка за демократию в России»).

Решение о включении всех четырех организаций в список нежелательных Минюст принял на основании решения Генеральной прокуратуры РФ.

Глава комитета Госдумы по безопасности и противодействию коррупции Василий Пискарев заявил, что включенная в список организация «Русская Америка за демократию в России» «занимается сбором средств на оснащение ВСУ и последующей доставкой противнику боеприпасов, дронов, тепловизоров, приборов ночного видения и обмундирования, а также выступает за введение санкций и передачу замороженных российских активов Украине». «Она играет ключевую роль в культивировании деструктивных настроений среди российской диаспоры в США, координирует работу ячеек в более чем 20 городах Америки»,— подчеркнул парламентарий. На сайте организации, созданной в 2022 году, говорится, что она объединяет «россиян США, выступающих за свободу и демократию в России», а также против военных действий на Украине.",2
3434405,-23482909,1703686371,"Первый полностью импортозамещенный аналог «Ласточки» — электропоезд «Финист» — совершит первый рейс 28 декабря, сообщили в пресс-службе Российских железных дорог (РЖД).

По данным компании, поезд «Финист» отвечает всем современным требованиям по безопасности и комфорту. Он оснащен отечественным тяговым оборудованием, позволяющим достигать скорости до 160 км/ч и эффективно использовать энергию при торможении, пояснили в РЖД.

Первый рейс «Финист» пройдет по маршруту Екатеринбург—Каменск-Уральский. Всего в настоящее время на Свердловскую железную дорогу пришло восемь «Финистов», еще четыре ожидаются до конца года, говорится в сообщении РЖД.

«Финист» придет на смену поезду «Ласточка», который построен на базе электропоезда Siemens Desiro. До мая 2022 года поезда обслуживала российская «дочка» немецкой Siemens, но из-за санкций компания покинула российский рынок. После ухода Siemens из России производство поездов данной модели было приостановлено.

На фото: электропоезд «Ласточка»",21
